EFO:0000274	atopic eczema
EFO:0000676	psoriatic arthritis, psoriasis
EFO:0005427	social communication impairment
EFO:0006516	superior frontal gyrus grey matter volume measurement
MONDO:0018309	Hirschsprung disease
EFO:0006522	asymmetrical dimethylarginine measurement
EFO:0006523	symmetrical dimethylarginine measurement
EFO:0004314	forced expiratory volume
EFO:0005854	allergic rhinitis
EFO:0003918	obstructive sleep apnea
EFO:0003884	chronic kidney disease
EFO:0004239	chronic hepatitis B virus infection
EFO:0004216	attention deficit hyperactivity disorder, conduct disorder
EFO:0005426	autism spectrum disorder symptom
EFO:0003756	autism spectrum disorder
EFO:0003758	autism
EFO:0004197	hepatitis B virus infection
EFO:0000729	ulcerative colitis
MONDO:0005090	peptic ulcer disease, schizophrenia
EFO:0004270	restless legs syndrome
EFO:0004340	body mass index
MONDO:0004979	asthma
EFO:0004232	eosinophilic esophagitis
MONDO:0005301	multiple sclerosis
EFO:0005532	response to angiotensin-converting enzyme inhibitor, angioedema
EFO:0004541	Headache, HbA1c measurement
EFO:0004235	exfoliation syndrome
MONDO:0007915	systemic lupus erythematosus
MONDO:0005180	Parkinson disease
EFO:0004311	heart function measurement
EFO:0001358	post-traumatic stress disorder
MONDO:0016046	familial clubfoot with or without associated lower limb anomalies
EFO:0000341	chronic obstructive pulmonary disease
EFO:0004465	migraine disorder, fasting blood glucose measurement
EFO:0004190	open-angle glaucoma
EFO:0005208	glomerular filtration rate
MONDO:0007079	alcohol dependence
EFO:0003894	acne
EFO:0005187	C-peptide measurement
EFO:0004307	glucose tolerance test
EFO:0000537	hypertension
EFO:0005676	Autoimmune Hepatitis
EFO:0000555	irritable bowel syndrome
EFO:0000649	periodontitis
EFO:0005669	intracerebral hemorrhage
EFO:0005782	age-related hearing impairment
MONDO:0005178	COVID-19, osteoarthritis
EFO:0005678	hippocampal sclerosis of aging
MONDO:0004975	Alzheimer disease
EFO:0003888	attention deficit hyperactivity disorder
EFO:0004265	type 2 diabetes mellitus, peripheral arterial disease
EFO:0001645	coronary artery disease
EFO:0004570	bilirubin measurement
EFO:0004534	response to statin, creatine kinase measurement
EFO:0000474	epilepsy
EFO:0003095	non-alcoholic fatty liver disease
EFO:0004274	gout
EFO:0006882	suicide behaviour measurement
EFO:1000656	survival time, sporadic Creutzfeld Jacob disease
EFO:1000651	recalcitrant atopic dermatitis
MONDO:0005147	Headache, type 1 diabetes mellitus
EFO:0005045	visceral Leishmaniasis
EFO:0005080	CC16 measurement
EFO:0005081	surfactant protein D measurement
EFO:0004682	QT interval
MONDO:0004985	peptic ulcer disease, bipolar disorder
EFO:0001073	COVID-19, obesity
EFO:0006333	transferrin saturation measurement
EFO:0006332	serum iron measurement
EFO:0000183	Hodgkins lymphoma
MONDO:0011382	sickle cell anemia
EFO:0004467	insulin measurement
EFO:0004252	nasopharyngeal neoplasm
EFO:0000217	gastritis
MONDO:0005148	type 2 diabetes mellitus
EFO:0004351	resting heart rate
EFO:0006788	anxiety disorder
EFO:0004579	serum IgE measurement
EFO:0700076	isolated scaphocephaly
EFO:0003819	dental caries
EFO:0004611	low density lipoprotein cholesterol measurement
MONDO:0005129	cataract
EFO:0004535	serum albumin measurement
EFO:0005420	grey matter volume measurement
EFO:0004776	alcohol and nicotine codependence
EFO:0005668	anterior chamber depth measurement
MONDO:0015263	Brugada syndrome
EFO:0004214	Abdominal Aortic Aneurysm
Orphanet:93957	Limb dystonia
EFO:0004220	chronic hepatitis C virus infection
EFO:0000403	diffuse large B-cell lymphoma
MONDO:0018092	Vogt-Koyanagi-Harada disease
EFO:0006342	aggressive periodontitis
EFO:0005942	response to bevacizumab, chemotherapy-induced hypertension
MONDO:0011599	birdshot chorioretinopathy
EFO:0004791	tissue plasminogen activator measurement
EFO:0000195	response to antipsychotic drug, metabolic syndrome
EFO:0005039	hippocampal atrophy
EFO:0005035	hippocampal volume
EFO:0006806	memory performance, paragraph delayed recall measurement
EFO:0004874	memory performance
EFO:0007017	peanut allergy measurement
EFO:0007019	milk allergy measurement
EFO:0007018	egg allergy measurement
EFO:0007016	food allergy measurement
EFO:0004683	wet macular degeneration
EFO:0009184	heart rate response to exercise
EFO:0009185	heart rate response to recovery post exercise
EFO:0009104	hyperuricemia
EFO:0005611	opioid dependence
EFO:0000685	rheumatoid arthritis
EFO:0007619	suicide ideation measurement
EFO:0000612	myocardial infarction
EFO:1001254	noise-induced hearing loss
EFO:1001507	asparaginase-induced acute pancreatitis
